UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2010,999,308400408,152178273,156222135,121698985,123460559,19053640,20818606,1596505,1584026,6854073,7336873,297391,287500,2677679,2734571,124032360,125828826,20139084,21945618,2484320,2520273,7859151,8341327,579650,571201,126732059,132506354,98295146,101752532,18064603,19809957,1171985,1203817,6686630,7170520,227693,225384,2286002,2344144,100283263,103778167,18971070,20757190,1908524,1988903,7576962,8059526,463988,463238,25446214,23715781,23403839,21708027,989037,1008649,424520,380209,167443,166353,69698,62116,391677,390427,23749097,22050659,1168014,1188428,575796,531370,282189,281801,115662,107963
R,1,2010,0,4290206,2193185,2097021,1625361,1553214,338065,323527,31801,30415,101220,97370,5474,5240,91264,87255,1708203,1632413,386485,369819,49946,47762,135370,130023,12735,12185,1620684,1549938,1120085,1070425,304199,291132,20333,19444,96245,92621,3861,3696,75961,72620,1189431,1136714,345361,330485,33219,31764,125228,120332,9254,8853,572501,547083,505276,482789,33866,32395,11468,10971,4975,4749,1613,1544,15303,14635,518772,495699,41124,39334,16727,15998,10142,9691,3481,3332
R,1,2010,1,4262592,2178097,2084495,1619617,1544989,331388,321862,31099,30186,103607,99195,5499,5150,86887,83113,1698281,1620190,376637,365365,48759,47087,136638,130641,12525,11803,1614516,1542835,1121353,1066509,298419,289763,19970,19259,98639,94599,3870,3646,72265,69059,1187118,1129303,336760,326606,32592,31315,126763,121359,9139,8622,563581,541660,498264,478480,32969,32099,11129,10927,4968,4596,1629,1504,14622,14054,511163,490887,39877,38759,16167,15772,9875,9282,3386,3181
R,1,2010,2,4347624,2220959,2126665,1651205,1575114,337232,327684,31649,30720,106883,103315,5617,5277,88373,84555,1731202,1651606,383244,371923,49615,47917,140486,135323,12767,12050,1644131,1572434,1140950,1085276,303656,294975,20291,19579,101807,98636,3957,3739,73470,70229,1207800,1149118,342624,332422,33121,31837,130419,125880,9321,8803,576828,554231,510255,489838,33576,32709,11358,11141,5076,4679,1660,1538,14903,14326,523402,502488,40620,39501,16494,16080,10067,9443,3446,3247
R,1,2010,3,4310312,2204119,2106193,1646401,1567756,332579,321000,30606,29457,102942,100239,5309,5042,86282,82699,1724562,1642644,377396,364227,48185,46299,135719,131471,12284,11630,1633466,1559983,1139498,1082250,299991,289936,19996,19342,98358,95962,3824,3632,71799,68861,1204878,1144914,337982,326613,32572,31404,126298,122610,9047,8557,570653,546210,506903,485506,32588,31064,10610,10115,4584,4277,1485,1410,14483,13838,519684,497730,39414,37614,15613,14895,9421,8861,3237,3073
R,1,2010,4,4197133,2146191,2050942,1613883,1533942,315478,307493,28477,27647,101200,98361,5323,5056,81830,78443,1688085,1605026,357457,348018,45299,43812,132535,128179,12015,11375,1600464,1529081,1130298,1071891,282804,275595,19165,18765,96424,93933,3691,3516,68082,65381,1192369,1131427,318288,309908,31275,30435,123158,119449,8700,8285,545727,521861,483585,462051,32674,31898,9312,8882,4776,4428,1632,1540,13748,13062,495716,473599,39169,38110,14024,13377,9377,8730,3315,3090
R,1,2010,5,4185092,2139383,2045709,1615105,1538410,308941,298964,27636,26801,102352,99608,5328,5106,80021,76820,1687656,1607986,349593,338200,44198,42701,133234,129143,11909,11407,1610290,1538698,1141171,1084319,281577,272816,18886,18300,97844,95354,3718,3547,67094,64362,1202304,1142890,316163,306197,30953,29890,124442,120750,8740,8328,529093,507011,473934,454091,27364,26148,8750,8501,4508,4254,1610,1559,12927,12458,485352,465096,33430,32003,13245,12811,8792,8393,3169,3079
R,1,2010,6,4175028,2134619,2040409,1622008,1544751,301492,292503,26936,26003,100884,97824,5155,4868,78144,74460,1692871,1612289,341114,330629,43218,41545,130924,126096,11658,10943,1621581,1548836,1156145,1098374,280522,272278,18415,17887,96843,94024,3700,3481,65956,62792,1216210,1155574,314418,304895,30494,29393,122893,118502,8693,8154,513038,491573,465863,446377,20970,20225,8521,8116,4041,3800,1455,1387,12188,11668,476661,456715,26696,25734,12724,12152,8031,7594,2965,2789
R,1,2010,7,4120710,2106441,2014269,1603604,1526436,298609,290780,25888,25475,98609,95386,4896,4633,74835,71559,1671309,1591223,336677,327414,41760,40661,127090,122406,11217,10539,1608161,1536826,1146258,1088654,281421,274094,18177,17771,95259,92211,3736,3500,63310,60596,1203720,1143696,314045,305572,30056,29141,120069,115725,8671,8096,498280,477443,457346,437782,17188,16686,7711,7704,3350,3175,1160,1133,11525,10963,467589,447527,22632,21842,11704,11520,7021,6681,2546,2443
R,1,2010,8,4141540,2115147,2026393,1609839,1535853,305505,297680,25470,25053,95878,92395,4812,4608,73643,70804,1676506,1599960,343115,334066,41280,40236,123589,118813,10913,10474,1623680,1555409,1159880,1104967,287256,279965,18092,17661,92435,89255,3581,3448,62436,60113,1216589,1159552,319563,311282,30033,29142,116563,112305,8344,8052,491467,470984,449959,430886,18249,17715,7378,7392,3443,3140,1231,1160,11207,10691,459917,440408,23552,22784,11247,11094,7026,6508,2569,2422
